"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000630","positive regulation of miRNA metabolic process","6/10","67/18805",0.0895522388059701,168.402985074627,31.6623348983956,3.3770054682097e-13,4.4542702125686e-10,1.34369270208765e-10,"IL6/TNF/JUN/FOS/STAT3/NFKB1",6
"GO:2000628","regulation of miRNA metabolic process","6/10","92/18805",0.0652173913043478,122.641304347826,26.9778434087313,2.40195334177391e-12,1.58408822889989e-09,4.77862296416073e-10,"IL6/TNF/JUN/FOS/STAT3/NFKB1",6
"GO:0010586","miRNA metabolic process","6/10","110/18805",0.0545454545454545,102.572727272727,24.6441973342461,7.19103085597972e-12,3.16165656634575e-09,9.53757776687836e-10,"IL6/TNF/JUN/FOS/STAT3/NFKB1",6
"GO:1902895","positive regulation of miRNA transcription","5/10","56/18805",0.0892857142857143,167.901785714286,28.8515997358588,4.85930573370112e-11,1.60235606568795e-08,4.83373044036586e-09,"IL6/TNF/JUN/FOS/STAT3",5
"GO:1902893","regulation of miRNA transcription","5/10","76/18805",0.0657894736842105,123.717105263158,24.7262673009204,2.33982085396631e-10,5.49968541653663e-08,1.65905677143837e-08,"IL6/TNF/JUN/FOS/STAT3",5
"GO:0061614","miRNA transcription","5/10","77/18805",0.0649350649350649,122.11038961039,24.5632042613237,2.50175227439119e-10,5.49968541653663e-08,1.65905677143837e-08,"IL6/TNF/JUN/FOS/STAT3",5
"GO:0071356","cellular response to tumor necrosis factor","6/10","219/18805",0.0273972602739726,51.5205479452055,17.3460701939458,4.70589866123171e-10,8.86725762023517e-08,2.67493187059486e-08,"TNF/CXCL8/FOS/STAT1/CCL2/NFKB1",6
"GO:0034612","response to tumor necrosis factor","6/10","241/18805",0.024896265560166,46.8174273858921,16.512293440478,8.37684016979421e-10,1.38113152299482e-07,4.16637576866081e-08,"TNF/CXCL8/FOS/STAT1/CCL2/NFKB1",6
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","5/10","131/18805",0.0381679389312977,71.7748091603054,18.7499292713534,3.72326352015652e-09,5.45664953676271e-07,1.64607439838499e-07,"IL6/TNF/STAT1/STAT3/CCL2",5
"GO:0032496","response to lipopolysaccharide","6/10","357/18805",0.0168067226890756,31.6050420168067,13.4665515956003,8.84257736020989e-09,1.16633595381169e-06,3.51841499174667e-07,"IL6/TNF/CXCL8/FOS/CCL2/NFKB1",6
"GO:0097696","cell surface receptor signaling pathway via STAT","5/10","159/18805",0.0314465408805031,59.1352201257862,16.9804423507359,9.88110855416236e-09,1.18483474390365e-06,3.57421917078791e-07,"IL6/TNF/STAT1/STAT3/CCL2",5
"GO:0002237","response to molecule of bacterial origin","6/10","379/18805",0.0158311345646438,29.7704485488127,13.0513266886972,1.26387673718155e-08,1.38921118028539e-06,4.19074918118094e-07,"IL6/TNF/CXCL8/FOS/CCL2/NFKB1",6
"GO:0009612","response to mechanical stimulus","5/10","223/18805",0.0224215246636771,42.1636771300448,14.2634414266866,5.38401666311731e-08,5.46270613742441e-06,1.64790145640352e-06,"TNF/FOS/STAT1/IRF1/NFKB1",5
"GO:0071222","cellular response to lipopolysaccharide","5/10","232/18805",0.021551724137931,40.5280172413793,13.9737171957068,6.56014803577341e-08,6.18059661370367e-06,1.86446312595665e-06,"IL6/TNF/CXCL8/CCL2/NFKB1",5
"GO:0071219","cellular response to molecule of bacterial origin","5/10","246/18805",0.0203252032520325,38.2215447154472,13.5546596306995,8.78755441031967e-08,7.53749450855778e-06,2.27379029107764e-06,"IL6/TNF/CXCL8/CCL2/NFKB1",5
"GO:0071347","cellular response to interleukin-1","4/10","88/18805",0.0454545454545455,85.4772727272727,18.32175438068,9.20144138993636e-08,7.53749450855778e-06,2.27379029107764e-06,"IL6/CXCL8/CCL2/NFKB1",4
"GO:0033002","muscle cell proliferation","5/10","251/18805",0.0199203187250996,37.4601593625498,13.4134533568335,9.71473894203808e-08,7.53749450855778e-06,2.27379029107764e-06,"IL6/TNF/JUN/FOS/STAT1",5
"GO:0071346","cellular response to type II interferon","4/10","98/18805",0.0408163265306122,76.7551020408163,17.3431032042986,1.42172951914049e-07,1.02479783527667e-05,3.09144552679128e-06,"TNF/STAT1/IRF1/CCL2",4
"GO:0071216","cellular response to biotic stimulus","5/10","273/18805",0.0183150183150183,34.4413919413919,12.838328379652,1.47620613117943e-07,1.02479783527667e-05,3.09144552679128e-06,"IL6/TNF/CXCL8/CCL2/NFKB1",5
"GO:0048661","positive regulation of smooth muscle cell proliferation","4/10","101/18805",0.0396039603960396,74.4752475247525,17.0780568148102,1.60573263628168e-07,1.05898067362777e-05,3.1945628237604e-06,"IL6/TNF/JUN/STAT1",4
"GO:0045639","positive regulation of myeloid cell differentiation","4/10","107/18805",0.0373831775700935,70.2990654205607,16.5815698617222,2.02644717168946e-07,1.27280181878971e-05,3.83958411478002e-06,"TNF/FOS/STAT1/STAT3",4
"GO:0070555","response to interleukin-1","4/10","116/18805",0.0344827586206897,64.8448275862069,15.9098335966755,2.80517848082231e-07,1.68183200736574e-05,5.07348069737241e-06,"IL6/CXCL8/CCL2/NFKB1",4
"GO:0034341","response to type II interferon","4/10","121/18805",0.0330578512396694,62.1652892561983,15.5692160750945,3.32399503620637e-07,1.90623889250269e-05,5.75043534867737e-06,"TNF/STAT1/IRF1/CCL2",4
"GO:0090594","inflammatory response to wounding","3/10","29/18805",0.103448275862069,194.534482758621,24.0580139846754,3.92822187991036e-07,2.15888527483407e-05,6.51257837985138e-06,"IL6/TNF/STAT3",3
"GO:1900017","positive regulation of cytokine production involved in inflammatory response","3/10","30/18805",0.1,188.05,23.6500641611421,4.36347148652655e-07,2.30216755629141e-05,6.94480935539804e-06,"IL6/TNF/STAT3",3
"GO:0045765","regulation of angiogenesis","5/10","363/18805",0.0137741046831956,25.9022038567493,11.0507319325508,6.06845826267505e-07,3.07857555710323e-05,9.28695232101687e-06,"IL6/TNF/CXCL8/STAT1/STAT3",5
"GO:1901342","regulation of vasculature development","5/10","372/18805",0.0134408602150538,25.2755376344086,10.9080286942474,6.84972210741919e-07,3.34621609617997e-05,1.00943273161967e-05,"IL6/TNF/CXCL8/STAT1/STAT3",5
"GO:0071354","cellular response to interleukin-6","3/10","42/18805",0.0714285714285714,134.321428571429,19.9515858261097,1.22967818646575e-06,5.7384487438121e-05,1.73108305746856e-05,"IL6/STAT3/NFKB1",3
"GO:0016032","viral process","5/10","421/18805",0.0118764845605701,22.333729216152,10.2115525558487,1.26167561463647e-06,5.7384487438121e-05,1.73108305746856e-05,"TNF/CXCL8/JUN/STAT1/CCL2",5
"GO:0009615","response to virus","5/10","425/18805",0.0117647058823529,22.1235294117647,10.1599635876692,1.3218683800231e-06,5.81181464416823e-05,1.75321490403064e-05,"IL6/TNF/STAT1/IRF1/NFKB1",5
